Country,ISO3,Year,Temp_Change
Australia,AUS,2000,0.124
Austria,AUT,2000,1.768
"Belarus, Rep. of",BLR,2000,1.94
Belgium,BEL,2000,1.468
Brazil,BRA,2000,0.53
Bulgaria,BGR,2000,1.183
Canada,CAN,2000,1.309
"China, P.R.: Mainland",CHN,2000,0.554
"Croatia, Rep. of",HRV,2000,1.623
Cyprus,CYP,2000,0.589
Czech Rep.,CZE,2000,1.902
Denmark,DNK,2000,1.722
"Estonia, Rep. of",EST,2000,2.043
Finland,FIN,2000,2.019
France,FRA,2000,1.141
Germany,DEU,2000,1.755
Greece,GRC,2000,0.667
Hungary,HUN,2000,1.753
Iceland,ISL,2000,0.309
Ireland,IRL,2000,0.548
Italy,ITA,2000,1.217
Japan,JPN,2000,0.601
"Kazakhstan, Rep. of",KAZ,2000,1.494
"Korea, Rep. of",KOR,2000,0.445
Latvia,LVA,2000,1.997
Liechtenstein,LIE,2000,1.449
Lithuania,LTU,2000,2.019
Luxembourg,LUX,2000,1.636
Malta,MLT,2000,1.034
"Netherlands, The",NLD,2000,1.587
New Zealand,NZL,2000,0.276
Norway,NOR,2000,1.447
"Poland, Rep. of",POL,2000,1.878
Portugal,PRT,2000,0.613
Romania,ROU,2000,1.341
Russian Federation,RUS,2000,1.317
Slovak Rep.,SVK,2000,1.626
"Slovenia, Rep. of",SVN,2000,1.8
Spain,ESP,2000,0.742
Sweden,SWE,2000,1.729
Switzerland,CHE,2000,1.409
Turkey,TUR,2000,0.484
Ukraine,UKR,2000,1.425
United Kingdom,GBR,2000,0.713
United States,USA,2000,0.992
World,WLD,2000,0.732
Australia,AUS,2001,0.311
Austria,AUT,2001,1.504
"Belarus, Rep. of",BLR,2001,1.977
Belgium,BEL,2001,1.317
Brazil,BRA,2001,0.736
Bulgaria,BGR,2001,1.629
Canada,CAN,2001,1.438
"China, P.R.: Mainland",CHN,2001,1.02
"Croatia, Rep. of",HRV,2001,1.596
Cyprus,CYP,2001,1.119
Czech Rep.,CZE,2001,1.219
Denmark,DNK,2001,1.048
"Estonia, Rep. of",EST,2001,1.82
Finland,FIN,2001,1.361
France,FRA,2001,1.355
Germany,DEU,2001,1.281
Greece,GRC,2001,1.298
Hungary,HUN,2001,1.41
Iceland,ISL,2001,0.618
Ireland,IRL,2001,0.529
Italy,ITA,2001,1.503
Japan,JPN,2001,0.381
"Kazakhstan, Rep. of",KAZ,2001,1.645
"Korea, Rep. of",KOR,2001,0.92
Latvia,LVA,2001,1.806
Liechtenstein,LIE,2001,1.43
Lithuania,LTU,2001,1.798
Luxembourg,LUX,2001,1.412
Malta,MLT,2001,1.642
"Netherlands, The",NLD,2001,1.259
New Zealand,NZL,2001,0.584
Norway,NOR,2001,0.633
"Poland, Rep. of",POL,2001,1.277
Portugal,PRT,2001,1.12
Romania,ROU,2001,1.532
Russian Federation,RUS,2001,0.81
Slovak Rep.,SVK,2001,1.241
"Slovenia, Rep. of",SVN,2001,1.724
Spain,ESP,2001,1.344
Sweden,SWE,2001,1.078
Switzerland,CHE,2001,1.437
Turkey,TUR,2001,1.475
Ukraine,UKR,2001,1.795
United Kingdom,GBR,2001,0.622
