Country,Country_Code,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,PerCapita
Australia,AUS,1961,90.503896,59.97478,29.115323,0.0,1.413794,0.0,,8.614547
Australia,AUS,1962,94.823455,61.485584,31.884128,0.003664,1.450079,0.0,,8.852126
Australia,AUS,1963,100.934264,63.727952,35.658048,0.007328,1.540936,0.0,,9.245287
Australia,AUS,1964,108.875767,67.133213,39.943584,0.007328,1.791642,0.0,,9.780775
Australia,AUS,1965,120.852669,71.059616,47.9068,0.007328,1.878925,0.0,,10.638962
Australia,AUS,1966,120.219302,71.400368,46.994464,0.007328,1.817142,0.0,,10.370281
Australia,AUS,1967,129.144212,75.40512,51.841936,0.007328,1.889828,0.0,,10.935982
Australia,AUS,1968,134.4969,76.584928,55.960272,0.010992,1.940708,0.0,,11.18267
Australia,AUS,1969,142.123802,77.977248,61.529552,0.487312,2.12969,0.0,,11.584591
Australia,AUS,1970,147.479769,74.293082,68.203666,2.75526,2.227761,0.0,,11.709359
Australia,AUS,1971,152.629587,74.261952,71.953632,4.100016,2.313987,0.0,,11.746309
Australia,AUS,1972,157.335653,77.737234,71.317757,5.844216,2.436446,0.0,,11.829474
Australia,AUS,1973,170.827567,79.713984,82.03696,6.48528,2.591343,0.0,,12.641423
Australia,AUS,1974,172.189614,85.202656,76.709504,7.709056,2.568398,0.0,,12.556315
Australia,AUS,1975,175.7142,86.943056,77.929616,8.368576,2.472952,0.0,,12.653276
Australia,AUS,1976,174.075029,88.87032,73.452208,9.258928,2.493573,0.0,,12.400209
Australia,AUS,1977,187.605251,96.181878,77.898161,11.05084,2.474372,0.0,,13.217813
Australia,AUS,1978,201.820616,104.079584,81.480032,13.802288,2.458712,0.0,,14.058459
Australia,AUS,1979,204.870091,107.314896,79.688336,15.286208,2.580651,0.0,,14.108998
Australia,AUS,1980,220.53159,117.986168,82.222458,17.671178,2.651786,0.0,,14.9957
Australia,AUS,1981,230.133366,121.142832,85.675312,20.360848,2.954374,0.0,,15.414103
Australia,AUS,1982,233.8894,123.473136,85.063424,22.529936,2.822904,0.0,,15.419471
Australia,AUS,1983,224.785702,122.289664,76.88904,22.79008,2.377238,0.43968,,14.612533
Australia,AUS,1984,236.362029,127.94688,81.406752,24.050496,2.683101,0.2748,,15.171372
Australia,AUS,1985,240.988939,135.688912,71.909664,30.147392,2.891227,0.351744,,15.266299
Australia,AUS,1986,239.723256,134.457808,73.946848,28.091888,2.907944,0.318768,,14.971195
Australia,AUS,1987,255.851315,147.393838,76.351525,28.971663,2.877805,0.256484,,15.73574
Australia,AUS,1988,260.880055,150.502464,77.207808,29.685728,3.135975,0.34808,,15.78613
Australia,AUS,1989,277.487041,161.791248,81.436064,30.345248,3.379537,0.534944,,16.520441
Australia,AUS,1990,278.154156,141.879819,88.84209,34.454816,3.462872,7.272496,2.242063,16.315938
Australia,AUS,1991,279.52851,146.08284,88.245572,32.786243,3.183033,7.001201,2.229622,16.184767
Australia,AUS,1992,284.525345,150.051381,87.916828,33.970472,2.923411,7.303701,2.359551,16.293502
Australia,AUS,1993,288.870537,150.098575,90.386578,35.670002,3.004698,7.136743,2.573941,16.383765
Australia,AUS,1994,293.696553,151.376241,91.924087,37.032005,3.484276,6.880148,2.999795,16.494706
Australia,AUS,1995,305.002996,155.718942,96.126544,39.830983,3.35775,7.060714,2.908064,16.941788
Australia,AUS,1996,311.886129,160.375191,98.697016,39.765246,3.243616,6.761052,3.044008,17.125455
Australia,AUS,1997,320.28263,167.670194,98.388038,41.074314,3.184589,6.687345,3.27815,17.396973
Australia,AUS,1998,334.075978,177.596365,99.146315,43.488447,3.475413,6.901959,3.46748,17.959464
Australia,AUS,1999,343.488633,183.215379,100.399487,45.548715,3.519991,7.165139,3.639921,18.269805
Australia,AUS,2000,349.635487,185.781229,102.33736,46.593883,3.620856,7.952858,3.349301,18.384487
Australia,AUS,2001,357.132367,190.066589,102.582541,49.310577,3.540903,8.172284,3.459474,18.554121
Australia,AUS,2002,361.54081,191.13103,104.516285,50.573495,3.487738,8.007496,3.824767,18.56355
Australia,AUS,2003,369.279512,195.370417,109.57068,49.701209,3.584016,7.157978,3.895211,18.746105
Australia,AUS,2004,382.82089,202.20981,113.766232,52.51797,3.554645,6.85794,3.914293,19.21304
Australia,AUS,2005,386.153533,200.699756,116.507794,54.476588,3.664127,6.914461,3.890808,19.143302
Australia,AUS,2006,392.384302,204.384919,117.400366,55.810784,3.888062,7.046394,3.853779,19.171531
Australia,AUS,2007,399.624803,203.543107,119.47387,61.048701,3.971547,7.504144,4.083434,19.184298
Australia,AUS,2008,404.233067,204.671475,122.328074,61.786863,3.862908,7.482726,4.101021,19.024637
Australia,AUS,2009,407.065015,206.050385,122.367287,63.113604,3.829017,7.966111,3.73861,18.792625
Australia,AUS,2010,405.10332,200.536242,124.556501,64.263998,3.548615,8.189776,4.008189,18.397758
Australia,AUS,2011,403.828773,192.124544,129.808187,66.479605,3.495532,7.874195,4.04671,18.062717
Australia,AUS,2012,406.15091,189.138286,133.683994,67.705582,3.518237,8.286993,3.817817,17.86907
Australia,AUS,2013,397.887458,176.346996,136.180923,69.647507,3.29442,8.846405,3.571207,17.215785
Australia,AUS,2014,393.952876,168.130343,137.598529,71.808093,3.137567,9.272708,4.005636,16.785681
Australia,AUS,2015,401.793062,174.188664,137.629374,72.044214,3.076156,10.827854,4.0268,16.86772
Australia,AUS,2016,411.264288,179.549565,137.374951,75.054759,2.930855,12.439911,3.914247,16.997412
Australia,AUS,2017,414.358312,176.906195,139.460823,76.211806,3.019062,14.86143,3.898995,16.850455
Australia,AUS,2018,416.283827,169.370489,143.712379,79.434749,2.941785,16.925628,3.898798,16.665199
Australia,AUS,2019,416.356588,164.471156,143.084851,81.693703,3.039547,20.199247,3.868084,16.419679
Australia,AUS,2020,399.922128,156.143134,135.476298,84.471564,2.820162,17.272753,3.738217,15.579327
Australia,AUS,2021,391.187411,150.958384,139.155751,77.242144,2.820162,17.272753,3.738217,15.091473
Austria,AUT,1961,31.824045,17.66048,9.552048,3.088752,1.522765,0.0,,4.491474
Austria,AUT,1962,33.864981,18.08746,11.026169,3.239326,1.512026,0.0,,4.750335
Austria,AUT,1963,36.94906,19.598736,12.336688,3.378208,1.635428,0.0,,5.149789
Austria,AUT,1964,38.896434,18.937335,14.5731,3.521436,1.864563,0.0,,5.385155
Austria,AUT,1965,38.140552,17.964592,14.754928,3.422176,1.998856,0.0,,5.246374
Austria,AUT,1966,39.208596,16.844981,16.467554,3.671671,2.22439,0.0,,5.355698
Austria,AUT,1967,39.915572,15.751536,18.400608,3.51744,2.245988,0.0,,5.411819
Austria,AUT,1968,42.29714,15.386468,20.915923,3.744932,2.249817,0.0,,5.705184
Austria,AUT,1969,44.638407,15.32777,22.385213,4.671983,2.253441,0.0,,6.000331
Austria,AUT,1970,50.6317,17.801,24.781425,5.672282,2.376994,0.0,,6.782272
Austria,AUT,1971,52.069098,15.04699,27.771167,6.558099,2.692842,0.0,,6.943897
Austria,AUT,1972,56.071169,15.634288,30.268304,7.082512,3.086065,0.0,,7.434447
Austria,AUT,1973,60.015526,15.854128,33.521936,7.62112,3.018342,0.0,,7.913416
Austria,AUT,1974,57.294163,16.605248,29.337648,8.273312,3.077955,0.0,,7.541653
Austria,AUT,1975,54.213685,14.5644,28.868656,8.108432,2.672197,0.0,,7.155103
Austria,AUT,1976,58.203792,14.268512,31.904451,9.263173,2.767656,0.0,,7.69534
Austria,AUT,1977,55.993691,12.541872,31.407808,9.41648,2.627531,0.0,,7.400349
Austria,AUT,1978,57.226484,12.835811,31.867841,9.801825,2.721007,0.0,,7.569391
Austria,AUT,1979,61.321326,14.43616,34.55152,9.760896,2.57275,0.0,,8.124741
Austria,AUT,1980,52.024931,14.189677,26.071196,9.283925,2.480133,0.0,,6.892946
Austria,AUT,1981,55.832893,14.641344,29.98984,8.819248,2.382461,0.0,,7.379138
Austria,AUT,1982,53.565287,14.128384,28.65248,8.544448,2.239975,0.0,,7.074791
Austria,AUT,1983,51.668238,14.395856,26.41744,8.68368,2.171262,0.0,,6.835228
Austria,AUT,1984,54.214049,16.853267,25.492398,9.719939,2.148445,0.0,,7.172534
Austria,AUT,1985,54.36632,16.656544,25.325568,10.402096,1.982112,0.0,,7.189302
Austria,AUT,1986,53.728532,14.725616,27.787776,9.247936,1.967204,0.0,,7.100142
Austria,AUT,1987,57.373914,14.798896,31.012096,9.632656,1.930266,0.0,,7.576735
Austria,AUT,1988,52.937221,14.285936,27.40672,9.229616,2.014949,0.0,,6.980339
Austria,AUT,1989,53.696289,13.845318,27.811539,10.049671,1.989761,0.0,,7.04732
Austria,AUT,1990,62.145248,18.138573,28.899433,11.836296,2.033412,0.102161,1.135374,8.093169
Austria,AUT,1991,65.743938,18.699347,31.406987,12.501283,2.004981,0.111162,1.020179,8.476922
Austria,AUT,1992,60.243908,14.385857,30.152021,12.518638,2.105,0.120208,0.962184,7.683372
Austria,AUT,1993,60.67057,13.273662,31.264846,13.022035,2.031869,0.112202,0.965955,7.674692
Austria,AUT,1994,61.045756,13.456497,30.713752,13.655744,2.102255,0.127715,0.989794,7.692873
Austria,AUT,1995,64.023072,15.423285,30.851659,14.899087,1.631326,0.12722,1.090495,8.055957
Austria,AUT,1996,67.367013,15.06789,33.777006,15.796022,1.634247,0.071216,1.020631,8.465276
Austria,AUT,1997,67.263597,16.155693,32.851835,15.300357,1.760917,0.120696,1.074098,8.442677
Austria,AUT,1998,66.898315,13.706165,34.65961,15.717101,1.598674,0.142015,1.07475,8.387597
Austria,AUT,1999,65.651039,13.87509,32.832798,16.101723,1.607357,0.170724,1.063347,8.215235
Austria,AUT,2000,66.14978,15.752621,32.163171,15.266094,1.711556,0.164719,1.091619,8.257958
Austria,AUT,2001,70.149508,16.563696,34.410864,16.157636,1.719922,0.182933,1.114458,8.725469
Austria,AUT,2002,71.953612,16.736632,36.05703,16.070299,1.735653,0.167237,1.18676,8.906261
Austria,AUT,2003,77.460983,18.022592,39.082064,17.268124,1.754471,0.184024,1.149708,9.539408
Austria,AUT,2004,77.678295,17.765949,39.099891,17.662321,1.79,0.165094,1.19504,9.506331
Austria,AUT,2005,79.078106,17.86176,39.393041,18.700773,1.79748,0.160095,1.164958,9.611982
Austria,AUT,2006,76.806465,17.865267,38.132297,17.496977,1.954142,0.180437,1.177345,9.289873
Austria,AUT,2007,74.10678,17.455149,36.623641,16.495412,2.130776,0.184702,1.217101,8.934209
Austria,AUT,2008,73.481909,17.028333,35.480636,17.436059,2.132968,0.162294,1.241619,8.83076
Austria,AUT,2009,67.298655,12.832833,34.415546,17.035763,1.79859,0.204935,1.010988,8.066544
Austria,AUT,2010,72.006411,15.501043,34.798218,18.779363,1.622129,0.183602,1.122056,8.610293
Austria,AUT,2011,69.893113,15.819384,33.285108,17.731132,1.66568,0.179604,1.212205,8.329335
Austria,AUT,2012,67.26591,14.687176,32.642371,16.946164,1.672547,0.183605,1.134048,7.979692
Austria,AUT,2013,67.759445,14.960277,33.460547,16.332385,1.656405,0.19094,1.158889,7.990935
Austria,AUT,2014,64.16,13.802023,32.423874,14.946754,1.638991,0.168713,1.179646,7.507548
Austria,AUT,2015,66.348823,14.372978,32.998847,15.967142,1.701497,0.161713,1.146646,7.677111
Austria,AUT,2016,67.210743,13.334845,34.109843,16.736951,1.729,0.131251,1.168854,7.693109
Austria,AUT,2017,69.592825,14.023157,34.546345,17.974629,1.710389,0.138247,1.200058,7.910526
Austria,AUT,2018,66.55718,12.295195,34.08512,17.019492,1.826656,0.127248,1.203469,7.528656
Austria,AUT,2019,67.936185,13.005251,34.087326,17.792615,1.770523,0.118253,1.162217,7.650523
Austria,AUT,2020,62.037447,11.393343,30.712898,16.876937,1.821123,0.10925,1.123897,6.964414
Austria,AUT,2021,64.625588,12.269229,31.462607,17.839483,1.821123,0.10925,1.123897,7.24333
Belarus,BLR,1961,41.498004,7.863711,30.619432,2.43412,0.58074,0.0,,4.884563
Belarus,BLR,1962,43.584426,7.449568,32.597018,2.882427,0.655413,0.0,,5.06804
Belarus,BLR,1963,46.757941,7.587424,35.008453,3.463519,0.698545,0.0,,5.377575
Belarus,BLR,1964,49.737801,7.732225,37.097759,4.163414,0.744403,0.0,,5.665063
Belarus,BLR,1965,52.769004,7.932787,39.227049,4.778188,0.83098,0.0,,5.95955
Belarus,BLR,1966,55.73739,8.112099,41.468095,5.237721,0.919475,0.0,,6.247328
Belarus,BLR,1967,58.313178,7.932633,43.84373,5.561282,0.975533,0.0,,6.489501
Belarus,BLR,1968,59.980533,7.640233,45.467692,5.864005,1.008602,0.0,,6.629294
Belarus,BLR,1969,62.487578,7.592875,47.711003,6.147375,1.036325,0.0,,6.860396
Belarus,BLR,1970,65.744903,7.954953,51.092615,5.596683,1.100652,0.0,,7.16895
Belarus,BLR,1971,69.775942,8.03414,53.86432,6.265709,1.143867,0.467907,,7.554153
Belarus,BLR,1972,73.433204,8.105864,57.265167,6.451324,1.17282,0.438029,,7.8927
Belarus,BLR,1973,76.558026,8.007906,60.160067,6.666843,1.213932,0.509278,,8.170919
Belarus,BLR,1974,79.499212,7.839135,62.954636,6.901474,1.258073,0.545894,,8.425461
Belarus,BLR,1975,83.569798,8.026716,66.141969,7.484688,1.313779,0.602646,,8.796138
Belarus,BLR,1976,86.747773,8.297204,68.191382,8.28463,1.300901,0.673657,,9.069882
Belarus,BLR,1977,89.672427,8.405226,70.391974,8.856565,1.29359,0.725072,,9.312867
Belarus,BLR,1978,92.752569,8.141814,73.545297,9.050172,1.256184,0.759102,,9.568714
Belarus,BLR,1979,93.486539,8.172457,74.064681,9.654295,1.182425,0.41268,,9.582223
Belarus,BLR,1980,97.123937,8.705434,76.646761,10.18633,1.166925,0.418487,,9.893185
Belarus,BLR,1981,95.295304,7.682352,75.415781,10.632063,1.160285,0.404823,,9.648085
Belarus,BLR,1982,97.065175,7.849937,76.362807,11.343462,1.102824,0.406146,,9.766158
Belarus,BLR,1983,98.421698,7.842623,76.806866,12.253945,1.116112,0.402151,,9.838186
Belarus,BLR,1984,99.259734,7.928623,76.330114,13.491383,1.106434,0.40318,,9.857612
Belarus,BLR,1985,106.976982,9.439641,80.524971,15.478778,1.0843,0.449292,,10.557066
Belarus,BLR,1986,121.404444,10.378064,94.75789,14.78471,1.090631,0.393149,,11.900448
