country,country_code,year,total,coal,oil,gas,cement,flaring,other,population,per_capita,temp_change
Australia,AUS,1961,90.503896,59.97478,29.115323,0,1.413794,0,,10483000,8.614547,0.151
Australia,AUS,1962,94.823455,61.485584,31.884128,0.003664,1.450079,0,,10742000,8.852126,0.118
Australia,AUS,1963,100.934264,63.727952,35.658048,0.007328,1.540936,0,,10950000,9.245287,-0.111
Australia,AUS,1964,108.875767,67.133213,39.943584,0.007328,1.791642,0,,11167000,9.780775,-0.029
Australia,AUS,1965,120.852669,71.059616,47.9068,0.007328,1.878925,0,,11388000,10.638962,0.121
Australia,AUS,1966,120.219302,71.400368,46.994464,0.007328,1.817142,0,,11651000,10.370281,-0.245
Australia,AUS,1967,129.144212,75.40512,51.841936,0.007328,1.889828,0,,11799000,10.935982,-0.092
Australia,AUS,1968,134.4969,76.584928,55.960272,0.010992,1.940708,0,,12009000,11.18267,-0.19
Australia,AUS,1969,142.123802,77.977248,61.529552,0.487312,2.12969,0,,12263000,11.584591,0.115
Australia,AUS,1970,147.479769,74.293082,68.203666,2.75526,2.227761,0,,12507000,11.709359,0.008
Australia,AUS,1971,152.629587,74.261952,71.953632,4.100016,2.313987,0,,12937000,11.746309,-0.028
Australia,AUS,1972,157.335653,77.737234,71.317757,5.844216,2.436446,0,,13177000,11.829474,0.103
Australia,AUS,1973,170.827567,79.713984,82.03696,6.48528,2.591343,0,,13380000,12.641423,0.853
Australia,AUS,1974,172.189614,85.202656,76.709504,7.709056,2.568398,0,,13723000,12.556315,-0.354
Australia,AUS,1975,175.7142,86.943056,77.929616,8.368576,2.472952,0,,13893000,12.653276,0.051
Australia,AUS,1976,174.075029,88.87032,73.452208,9.258928,2.493573,0,,14033000,12.400209,-0.521
Australia,AUS,1977,187.605251,96.181878,77.898161,11.05084,2.474372,0,,14192000,13.217813,0.176
Australia,AUS,1978,201.820616,104.079584,81.480032,13.802288,2.458712,0,,14358000,14.058459,0.069
Australia,AUS,1979,204.870091,107.314896,79.688336,15.286208,2.580651,0,,14514000,14.108998,0.364
Australia,AUS,1980,220.53159,117.986168,82.222458,17.671178,2.651786,0,,14692000,14.9957,0.869
Australia,AUS,1981,230.133366,121.142832,85.675312,20.360848,2.954374,0,,14923260,15.414103,0.466
Australia,AUS,1982,233.8894,123.473136,85.063424,22.529936,2.822904,0,,15184247,15.419471,0.159
Australia,AUS,1983,224.785702,122.289664,76.88904,22.79008,2.377238,0.43968,,15393472,14.612533,0.608
Australia,AUS,1984,236.362029,127.94688,81.406752,24.050496,2.683101,0.2748,,15579391,15.171372,-0.186
Australia,AUS,1985,240.988939,135.688912,71.909664,30.147392,2.891227,0.351744,,15788312,15.266299,0.323
Australia,AUS,1986,239.723256,134.457808,73.946848,28.091888,2.907944,0.318768,,16018350,14.971195,0.358
Australia,AUS,1987,255.851315,147.393838,76.351525,28.971663,2.877805,0.256484,,16263874,15.73574,0.329
Australia,AUS,1988,260.880055,150.502464,77.207808,29.685728,3.135975,0.34808,,16532164,15.78613,0.932
Australia,AUS,1989,277.487041,161.791248,81.436064,30.345248,3.379537,0.534944,,16814416,16.520441,0.132
Australia,AUS,1990,278.154156,141.879819,88.84209,34.454816,3.462872,7.272496,2.242063,17065128,16.315938,0.534
Australia,AUS,1991,279.52851,146.08284,88.245572,32.786243,3.183033,7.001201,2.229622,17284036,16.184767,0.806
Australia,AUS,1992,284.525345,150.051381,87.916828,33.970472,2.923411,7.303701,2.359551,17478635,16.293502,0.268
Australia,AUS,1993,288.870537,150.098575,90.386578,35.670002,3.004698,7.136743,2.573941,17634808,16.383765,0.466
Australia,AUS,1994,293.696553,151.376241,91.924087,37.032005,3.484276,6.880148,2.999795,17805468,16.494706,0.199
Australia,AUS,1995,305.002996,155.718942,96.126544,39.830983,3.35775,7.060714,2.908064,18004882,16.941788,0.398
Australia,AUS,1996,311.886129,160.375191,98.697016,39.765246,3.243616,6.761052,3.044008,18224767,17.125455,0.582
Australia,AUS,1997,320.28263,167.670194,98.388038,41.074314,3.184589,6.687345,3.27815,18423037,17.396973,0.363
Australia,AUS,1998,334.075978,177.596365,99.146315,43.488447,3.475413,6.901959,3.46748,18607584,17.959464,1.062
Australia,AUS,1999,343.488633,183.215379,100.399487,45.548715,3.519991,7.165139,3.639921,18812264,18.269805,0.56
Australia,AUS,2000,349.635487,185.781229,102.33736,46.593883,3.620856,7.952858,3.349301,19028802,18.384487,0.124
Australia,AUS,2001,357.132367,190.066589,102.582541,49.310577,3.540903,8.172284,3.459474,19274701,18.554121,0.311
Australia,AUS,2002,361.54081,191.13103,104.516285,50.573495,3.487738,8.007496,3.824767,19495210,18.56355,0.706
Australia,AUS,2003,369.279512,195.370417,109.57068,49.701209,3.584016,7.157978,3.895211,19720737,18.746105,0.807
Australia,AUS,2004,382.82089,202.20981,113.766232,52.51797,3.554645,6.85794,3.914293,19932722,19.21304,0.698
Australia,AUS,2005,386.153533,200.699756,116.507794,54.476588,3.664127,6.914461,3.890808,20176844,19.143302,1.181
Australia,AUS,2006,392.384302,204.384919,117.400366,55.810784,3.888062,7.046394,3.853779,20450966,19.171531,0.683
Australia,AUS,2007,399.624803,203.543107,119.47387,61.048701,3.971547,7.504144,4.083434,20827622,19.184298,0.887
Australia,AUS,2008,404.233067,204.671475,122.328074,61.786863,3.862908,7.482726,4.101021,21249199,19.024637,0.582
Australia,AUS,2009,407.065015,206.050385,122.367287,63.113604,3.829017,7.966111,3.73861,21691653,18.792625,0.986
Australia,AUS,2010,405.10332,200.536242,124.556501,64.263998,3.548615,8.189776,4.008189,22031750,18.397758,0.624
Australia,AUS,2011,403.828773,192.124544,129.808187,66.479605,3.495532,7.874195,4.04671,22340024,18.062717,0.156
Australia,AUS,2012,406.15091,189.138286,133.683994,67.705582,3.518237,8.286993,3.817817,22733465,17.86907,0.258
Australia,AUS,2013,397.887458,176.346996,136.180923,69.647507,3.29442,8.846405,3.571207,23128129,17.215785,1.459
Australia,AUS,2014,393.952876,168.130343,137.598529,71.808093,3.137567,9.272708,4.005636,23475686,16.785681,1.166
Australia,AUS,2015,401.793062,174.188664,137.629374,72.044214,3.076156,10.827854,4.0268,23815995,16.86772,1.062
Australia,AUS,2016,411.264288,179.549565,137.374951,75.054759,2.930855,12.439911,3.914247,24190907,16.997412,1.145
Australia,AUS,2017,414.358312,176.906195,139.460823,76.211806,3.019062,14.86143,3.898995,24594202,16.850455,1.122
Australia,AUS,2018,416.283827,169.370489,143.712379,79.434749,2.941785,16.925628,3.898798,24966643,16.665199,1.112
Australia,AUS,2019,416.356588,164.471156,143.084851,81.693703,3.039547,20.199247,3.868084,25340217,16.419679,1.411
Australia,AUS,2020,399.922128,156.143134,135.476298,84.471564,2.820162,17.272753,3.738217,25655289,15.579327,1.404
Australia,AUS,2021,391.187411,150.958384,139.155751,77.242144,2.820162,17.272753,3.738217,25688079,15.091473,0.589
Austria,AUT,1961,31.824045,17.66048,9.552048,3.088752,1.522765,0,,7086299,4.491474,1.031
Austria,AUT,1962,33.864981,18.08746,11.026169,3.239326,1.512026,0,,7129864,4.750335,-0.624
Austria,AUT,1963,36.94906,19.598736,12.336688,3.378208,1.635428,0,,7175811,5.149789,-0.729
Austria,AUT,1964,38.896434,18.937335,14.5731,3.521436,1.864563,0,,7223801,5.385155,-0.371
