Country_Name,Country_Code,Year,Population
Australia,AUS,1961,10483000
Australia,AUS,1962,10742000
Australia,AUS,1963,10950000
Australia,AUS,1964,11167000
Australia,AUS,1965,11388000
Australia,AUS,1966,11651000
Australia,AUS,1967,11799000
Australia,AUS,1968,12009000
Australia,AUS,1969,12263000
Australia,AUS,1970,12507000
Australia,AUS,1971,12937000
Australia,AUS,1972,13177000
Australia,AUS,1973,13380000
Australia,AUS,1974,13723000
Australia,AUS,1975,13893000
Australia,AUS,1976,14033000
Australia,AUS,1977,14192000
Australia,AUS,1978,14358000
Australia,AUS,1979,14514000
Australia,AUS,1980,14692000
Australia,AUS,1981,14923260
Australia,AUS,1982,15184247
Australia,AUS,1983,15393472
Australia,AUS,1984,15579391
Australia,AUS,1985,15788312
Australia,AUS,1986,16018350
Australia,AUS,1987,16263874
Australia,AUS,1988,16532164
Australia,AUS,1989,16814416
Australia,AUS,1990,17065128
Australia,AUS,1991,17284036
Australia,AUS,1992,17478635
Australia,AUS,1993,17634808
Australia,AUS,1994,17805468
Australia,AUS,1995,18004882
Australia,AUS,1996,18224767
Australia,AUS,1997,18423037
Australia,AUS,1998,18607584
Australia,AUS,1999,18812264
Australia,AUS,2000,19028802
Australia,AUS,2001,19274701
Australia,AUS,2002,19495210
Australia,AUS,2003,19720737
Australia,AUS,2004,19932722
Australia,AUS,2005,20176844
Australia,AUS,2006,20450966
Australia,AUS,2007,20827622
Australia,AUS,2008,21249199
Australia,AUS,2009,21691653
Australia,AUS,2010,22031750
Australia,AUS,2011,22340024
Australia,AUS,2012,22733465
Australia,AUS,2013,23128129
Australia,AUS,2014,23475686
Australia,AUS,2015,23815995
Australia,AUS,2016,24190907
Australia,AUS,2017,24594202
Australia,AUS,2018,24966643
Australia,AUS,2019,25340217
Australia,AUS,2020,25655289
Australia,AUS,2021,25688079
Austria,AUT,1961,7086299
Austria,AUT,1962,7129864
Austria,AUT,1963,7175811
Austria,AUT,1964,7223801
Austria,AUT,1965,7270889
Austria,AUT,1966,7322066
Austria,AUT,1967,7376998
Austria,AUT,1968,7415403
Austria,AUT,1969,7441055
Austria,AUT,1970,7467086
Austria,AUT,1971,7500482
Austria,AUT,1972,7544201
Austria,AUT,1973,7586115
Austria,AUT,1974,7599038
Austria,AUT,1975,7578903
Austria,AUT,1976,7565525
Austria,AUT,1977,7568430
Austria,AUT,1978,7562305
Austria,AUT,1979,7549425
Austria,AUT,1980,7549433
Austria,AUT,1981,7568710
Austria,AUT,1982,7574140
Austria,AUT,1983,7561910
Austria,AUT,1984,7561434
Austria,AUT,1985,7564985
Austria,AUT,1986,7569794
Austria,AUT,1987,7574586
Austria,AUT,1988,7585317
Austria,AUT,1989,7619567
Austria,AUT,1990,7677850
Austria,AUT,1991,7754891
Austria,AUT,1992,7840709
Austria,AUT,1993,7905633
Austria,AUT,1994,7936118
Austria,AUT,1995,7948278
Austria,AUT,1996,7959017
Austria,AUT,1997,7968041
Austria,AUT,1998,7976789
Austria,AUT,1999,7992324
Austria,AUT,2000,8011566
Austria,AUT,2001,8042293
Austria,AUT,2002,8081957
Austria,AUT,2003,8121423
Austria,AUT,2004,8171966
Austria,AUT,2005,8227829
Austria,AUT,2006,8268641
Austria,AUT,2007,8295487
Austria,AUT,2008,8321496
Austria,AUT,2009,8343323
Austria,AUT,2010,8363404
Austria,AUT,2011,8391643
Austria,AUT,2012,8429991
Austria,AUT,2013,8479823
Austria,AUT,2014,8546356
Austria,AUT,2015,8642699
Austria,AUT,2016,8736668
Austria,AUT,2017,8797566
Austria,AUT,2018,8840521
Austria,AUT,2019,8879920
Austria,AUT,2020,8916864
Austria,AUT,2021,8955797
Belgium,BEL,1961,9183948
Belgium,BEL,1962,9220578
Belgium,BEL,1963,9289770
Belgium,BEL,1964,9378113
Belgium,BEL,1965,9463667
Belgium,BEL,1966,9527807
Belgium,BEL,1967,9580991
Belgium,BEL,1968,9618756
Belgium,BEL,1969,9646032
Belgium,BEL,1970,9655549
Belgium,BEL,1971,9673162
Belgium,BEL,1972,9711115
Belgium,BEL,1973,9741720
Belgium,BEL,1974,9772419
Belgium,BEL,1975,9800700
Belgium,BEL,1976,9818227
Belgium,BEL,1977,9830358
Belgium,BEL,1978,9839534
Belgium,BEL,1979,9848382
Belgium,BEL,1980,9859242
Belgium,BEL,1981,9858982
Belgium,BEL,1982,9856303
Belgium,BEL,1983,9855520
Belgium,BEL,1984,9855372
Belgium,BEL,1985,9858308
Belgium,BEL,1986,9861823
Belgium,BEL,1987,9870234
Belgium,BEL,1988,9901664
Belgium,BEL,1989,9937697
Belgium,BEL,1990,9967379
Belgium,BEL,1991,10004486
Belgium,BEL,1992,10045158
Belgium,BEL,1993,10084475
Belgium,BEL,1994,10115603
Belgium,BEL,1995,10136811
Belgium,BEL,1996,10156637
Belgium,BEL,1997,10181245
Belgium,BEL,1998,10203008
Belgium,BEL,1999,10226419
Belgium,BEL,2000,10251250
Belgium,BEL,2001,10286570
Belgium,BEL,2002,10332785
Belgium,BEL,2003,10376133
Belgium,BEL,2004,10421137
Belgium,BEL,2005,10478617
Belgium,BEL,2006,10547958
Belgium,BEL,2007,10625700
Belgium,BEL,2008,10709973
Belgium,BEL,2009,10796493
Belgium,BEL,2010,10895586
Belgium,BEL,2011,11038264
Belgium,BEL,2012,11106932
Belgium,BEL,2013,11159407
Belgium,BEL,2014,11209057
Belgium,BEL,2015,11274196
Belgium,BEL,2016,11331422
Belgium,BEL,2017,11375158
Belgium,BEL,2018,11427054
Belgium,BEL,2019,11488980
Belgium,BEL,2020,11538604
Belgium,BEL,2021,11592952
Bulgaria,BGR,1961,7943118
Bulgaria,BGR,1962,8012946
Bulgaria,BGR,1963,8078145
Bulgaria,BGR,1964,8144340
Bulgaria,BGR,1965,8204168
Bulgaria,BGR,1966,8258057
Bulgaria,BGR,1967,8310226
Bulgaria,BGR,1968,8369603
Bulgaria,BGR,1969,8434172
Bulgaria,BGR,1970,8489574
Bulgaria,BGR,1971,8536395
Bulgaria,BGR,1972,8576200
Bulgaria,BGR,1973,8620967
Bulgaria,BGR,1974,8678745
Bulgaria,BGR,1975,8720742
Bulgaria,BGR,1976,8758599
Bulgaria,BGR,1977,8804183
Bulgaria,BGR,1978,8814032
Bulgaria,BGR,1979,8825940
Bulgaria,BGR,1980,8861535
Bulgaria,BGR,1981,8891117
Bulgaria,BGR,1982,8917457
Bulgaria,BGR,1983,8939738
Bulgaria,BGR,1984,8960679
Bulgaria,BGR,1985,8960547
Bulgaria,BGR,1986,8958171
Bulgaria,BGR,1987,8971359
Bulgaria,BGR,1988,8981446
Bulgaria,BGR,1989,8876972
Bulgaria,BGR,1990,8718289
Bulgaria,BGR,1991,8632367
Bulgaria,BGR,1992,8540164
Bulgaria,BGR,1993,8472313
Bulgaria,BGR,1994,8443591
Bulgaria,BGR,1995,8406067
Bulgaria,BGR,1996,8362826
Bulgaria,BGR,1997,8312068
Bulgaria,BGR,1998,8256786
Bulgaria,BGR,1999,8210624
Bulgaria,BGR,2000,8170172
Bulgaria,BGR,2001,8009142
Bulgaria,BGR,2002,7837161
Bulgaria,BGR,2003,7775327
Bulgaria,BGR,2004,7716860
Bulgaria,BGR,2005,7658972
Bulgaria,BGR,2006,7601022
Bulgaria,BGR,2007,7545338
Bulgaria,BGR,2008,7492561
Bulgaria,BGR,2009,7444443
Bulgaria,BGR,2010,7395599
Bulgaria,BGR,2011,7348328
Bulgaria,BGR,2012,7305888
Bulgaria,BGR,2013,7265115
Bulgaria,BGR,2014,7223938
Bulgaria,BGR,2015,7177991
Bulgaria,BGR,2016,7127822
Bulgaria,BGR,2017,7075947
Bulgaria,BGR,2018,7025037
Bulgaria,BGR,2019,6975761
Bulgaria,BGR,2020,6934015
Bulgaria,BGR,2021,6877743
Belarus,BLR,1961,8271216
Belarus,BLR,1962,8351928
Belarus,BLR,1963,8437232
Belarus,BLR,1964,8524224
Belarus,BLR,1965,8610000
Belarus,BLR,1966,8696496
Belarus,BLR,1967,8785648
Belarus,BLR,1968,8874552
Belarus,BLR,1969,8960304
Belarus,BLR,1970,9040000
Belarus,BLR,1971,9115576
Belarus,BLR,1972,9188968
Belarus,BLR,1973,9257272
Belarus,BLR,1974,9317584
